transaction_id,branch_id,account_id,iban,amount,currency,transaction_type,timestamp
TX0001,BR001,ACC1001,PE00123456789001,250.5,PEN,DEBIT,2026-08-26 08:01:00
TX0002,BR001,ACC1002,PE00123456789002,500.0,PEN,CREDIT,2026-08-26 08:03:00
TX0003,BR001,ACC1003,PE00123456789003,120.75,PEN,DEBIT,2026-08-26 08:05:00
TX0004,BR001,ACC1004,PE00123456789004,850.0,PEN,CREDIT,2026-08-26 08:07:00
TX0005,BR001,ACC1005,PE00123456789005,75.2,PEN,DEBIT,2026-08-26 08:09:00
TX0006,BR002,ACC1006,PE00123456789006,1300.0,PEN,CREDIT,2026-08-26 08:12:00
TX0007,BR002,ACC1007,PE00123456789007,45.5,PEN,DEBIT,2026-08-26 08:14:00
TX0008,BR002,ACC1008,PE00123456789008,600.0,PEN,DEBIT,2026-08-26 08:16:00
TX0009,BR002,ACC1009,PE00123456789009,2200.0,PEN,CREDIT,2026-08-26 08:18:00
TX0010,BR002,ACC1010,PE00123456789010,99.9,PEN,DEBIT,2026-08-26 08:20:00
TX0011,BR003,ACC1011,PE00123456789011,350.0,PEN,DEBIT,2026-08-26 08:23:00
TX0012,BR003,ACC1012,PE00123456789012,1500.0,PEN,CREDIT,2026-08-26 08:25:00
TX0013,BR003,ACC1013,PE00123456789013,80.0,PEN,DEBIT,2026-08-26 08:27:00
TX0014,BR003,ACC1014,PE00123456789014,425.75,PEN,DEBIT,2026-08-26 08:29:00
TX0015,BR003,ACC1015,PE00123456789015,950.0,PEN,CREDIT,2026-08-26 08:31:00
TX0016,BR004,ACC1016,PE00123456789016,180.0,PEN,DEBIT,2026-08-26 08:34:00
TX0017,BR004,ACC1017,PE00123456789017,720.0,PEN,CREDIT,2026-08-26 08:36:00
TX0018,BR004,ACC1018,PE00123456789018,60.5,PEN,DEBIT,2026-08-26 08:38:00
TX0019,BR004,ACC1019,PE00123456789019,1100.0,PEN,CREDIT,2026-08-26 08:40:00
TX0020,BR004,ACC1020,PE00123456789020,300.25,PEN,DEBIT,2026-08-26 08:42:00
TX0021,BR001,ACC1021,PE00123456789021,-50.0,PEN,DEBIT,2026-08-26 08:45:00
TX0022,BR001,ACC1022,,300.0,PEN,DEBIT,2026-08-26 08:47:00
TX0023,BR002,ACC1023,INVALIDIBAN,450.0,PEN,DEBIT,2026-08-26 08:49:00
TX0024,BR002,ACC1024,PE00123456789024,-120.5,PEN,CREDIT,2026-08-26 08:51:00
TX0025,BR003,ACC1025,PE00123456789025,800.0,PEN,DEBIT,2026-08-26 08:53:00
TX0025,BR003,ACC1025,PE00123456789025,800.0,PEN,DEBIT,2026-08-26 08:53:00
TX0027,BR003,ACC1027,PE00123456789027,0.0,PEN,DEBIT,2026-08-26 08:55:00
TX0028,BR004,ACC1028,PE00123456789028,12500.0,PEN,DEBIT,2026-08-26 08:57:00
TX0029,BR004,ACC1029,PE00123456789029,250.0,PEN,UNKNOWN,2026-08-26 08:59:00
TX0030,BR004,ACC1030,PE00123456789030,400.0,USD,DEBIT,2026-08-26 09:01:00
TX0031,BR005,ACC1031,PE00123456789031,650.0,PEN,DEBIT,2026-08-26 09:03:00
TX0032,BR005,ACC1032,PE00123456789032,-10.0,PEN,DEBIT,2026-08-26 09:05:00
TX0033,BR005,ACC1033,PE00123456789033,700.0,PEN,CREDIT,2026-08-26 09:07:00
TX0034,BR005,ACC1034,PE00123456789034,550.0,PEN,DEBIT,2026-08-26 09:09:00
TX0035,BR005,ACC1035,PE00123456789035,950.0,PEN,CREDIT,2026-08-26 09:11:00
TX0036,BR001,ACC1036,PE00123456789036,300.0,PEN,DEBIT,2026-08-26 09:13:00
TX0037,BR001,ACC1037,PE00123456789037,420.0,PEN,DEBIT,2026-08-26 09:15:00
TX0038,BR002,ACC1038,PE00123456789038,150.0,PEN,DEBIT,2026-08-26 09:17:00
TX0039,BR002,ACC1039,PE00123456789039,2000.0,PEN,CREDIT,2026-08-26 09:19:00
TX0040,BR003,ACC1040,PE00123456789040,275.5,PEN,DEBIT,2026-08-26 09:21:00
TX0041,BR003,ACC1041,PE00123456789041,380.0,PEN,DEBIT,2026-08-26 09:23:00
TX0042,BR004,ACC1042,PE00123456789042,1000.0,PEN,CREDIT,2026-08-26 09:25:00
TX0043,BR004,ACC1043,PE00123456789043,90.0,PEN,DEBIT,2026-08-26 09:27:00
TX0044,BR005,ACC1044,PE00123456789044,625.0,PEN,CREDIT,2026-08-26 09:29:00
TX0045,BR005,ACC1045,PE00123456789045,210.0,PEN,DEBIT,2026-08-26 09:31:00
TX0046,BR001,ACC1046,PE00123456789046,340.0,PEN,DEBIT,2026-08-26 09:33:00
TX0047,BR002,ACC1047,PE00123456789047,480.0,PEN,CREDIT,2026-08-26 09:35:00
TX0048,BR003,ACC1048,PE00123456789048,155.0,PEN,DEBIT,2026-08-26 09:37:00
TX0049,BR004,ACC1049,PE00123456789049,780.0,PEN,CREDIT,2026-08-26 09:39:00
TX0050,BR005,ACC1050,PE00123456789050,50.0,PEN,DEBIT,2026-08-26 09:41:00
