customer_id,name,document_type,document_number,segment,birth_date,status
CUS000001,Lilia Sáez Lillo,RUC,12548072,PRIVATE_BANKING,1985-05-17,ACTIVE
CUS000002,Alma de Araujo,CE,39944533,SME,1993-01-17,ACTIVE
CUS000003,Rodolfo Comas Gallart,DNI,95677825,CORPORATE,1986-12-15,ACTIVE
CUS000004,Paco Ledesma Vega,DNI,48591379,RETAIL,1966-05-13,ACTIVE
CUS000005,Perlita Ribas Miralles,RUC,28805078,SME,1970-01-25,ACTIVE
CUS000006,Ainoa del Caballero,PASSPORT,87715724,RETAIL,1996-04-21,ACTIVE
CUS000007,Nydia Valencia Guillen,PASSPORT,99243282,CORPORATE,1943-09-13,ACTIVE
CUS000008,Yago Taboada Beltrán,PASSPORT,11570542,PRIVATE_BANKING,1999-08-13,INACTIVE
CUS000009,Yolanda Borrell,PASSPORT,67751246,SME,1989-01-22,ACTIVE
CUS000010,Valentín Gomila-Cervantes,CE,79402815,RETAIL,1962-04-14,ACTIVE
CUS000011,Claudia Gras Jurado,DNI,54113616,CORPORATE,2004-03-25,ACTIVE
CUS000012,Jose Francisco Giralt Caballero,CE,12505355,RETAIL,1955-07-20,ACTIVE
CUS000013,Ricarda Almansa Solera,PASSPORT,95467585,CORPORATE,1981-10-27,ACTIVE
CUS000014,Fabián Riquelme Sevillano,DNI,10088771,RETAIL,1998-12-30,ACTIVE
CUS000015,Teo Agullo Viña,RUC,73470099,PRIVATE_BANKING,1992-11-04,ACTIVE
CUS000016,Conrado Bermúdez Ortuño,CE,73666139,RETAIL,1951-07-19,ACTIVE
CUS000017,Urbano Albero Aragonés,RUC,66384996,SME,2002-06-30,ACTIVE
CUS000018,Yolanda del Grande,DNI,65123037,SME,1985-05-20,ACTIVE
CUS000019,Eric Céspedes Marcos,CE,92878859,PRIVATE_BANKING,1975-03-03,ACTIVE
CUS000020,Buenaventura Rueda Herranz,PASSPORT,79203489,SME,1960-12-22,ACTIVE
CUS000021,Omar Tejera Uría,RUC,37544387,CORPORATE,1964-05-08,ACTIVE
CUS000022,Elodia Piedad Salvà Sandoval,RUC,31849691,SME,1946-12-05,ACTIVE
CUS000023,Mariano Planas Campo,CE,98387944,PRIVATE_BANKING,1946-04-25,INACTIVE
CUS000024,Natanael Ferrero Almansa,DNI,66012551,PRIVATE_BANKING,2005-09-29,ACTIVE
CUS000025,Trinidad Díez-Diego,CE,65883290,RETAIL,1964-12-04,ACTIVE
CUS000026,Esteban Torrecilla Taboada,PASSPORT,66785408,RETAIL,1988-01-11,ACTIVE
CUS000027,Marco Menéndez Vila,RUC,96633515,CORPORATE,1999-08-05,ACTIVE
CUS000028,Agustina Roldán Pagès,RUC,43902757,RETAIL,1947-03-09,ACTIVE
CUS000029,Dani Vizcaíno Cervantes,PASSPORT,89420385,RETAIL,1947-03-22,ACTIVE
CUS000030,Victor Iñiguez Franco,RUC,91267416,RETAIL,1979-03-23,ACTIVE
CUS000031,Ernesto Calzada Herranz,PASSPORT,84931921,RETAIL,1954-09-14,ACTIVE
CUS000032,Berta Girona Marí,PASSPORT,86010087,PRIVATE_BANKING,1956-11-06,ACTIVE
CUS000033,Fabricio Román Jurado,CE,69433625,SME,1980-01-12,ACTIVE
CUS000034,Fabián Alberdi Uría,CE,25629470,SME,1985-11-14,ACTIVE
CUS000035,Pili del Ros,DNI,23290241,CORPORATE,2003-10-18,ACTIVE
CUS000036,Cornelio Villar Arjona,PASSPORT,94683832,CORPORATE,1951-06-20,ACTIVE
CUS000037,Ramiro Mulet Mata,CE,68629494,CORPORATE,2000-04-16,INACTIVE
CUS000038,Ramona Bárbara Alfonso Ayala,PASSPORT,48876551,CORPORATE,1954-10-25,ACTIVE
CUS000039,Rosalina Noguera Cano,DNI,61517933,PRIVATE_BANKING,1955-09-19,ACTIVE
CUS000040,Aurelia Peñas,PASSPORT,60298039,RETAIL,1940-09-13,ACTIVE
CUS000041,Cayetana Huerta Sánchez,CE,26101471,CORPORATE,1989-10-07,ACTIVE
CUS000042,David Soriano Rivera,RUC,54830677,PRIVATE_BANKING,1995-06-05,ACTIVE
CUS000043,Nando Alvarez-Reig,CE,58096998,PRIVATE_BANKING,1954-03-02,ACTIVE
CUS000044,Tere Conde-Rivera,PASSPORT,56442928,RETAIL,1995-08-25,ACTIVE
CUS000045,Lola Elías Ruano,PASSPORT,64993703,RETAIL,1993-10-26,ACTIVE
CUS000046,Eliseo Torrens,RUC,48147405,RETAIL,1995-11-17,ACTIVE
CUS000047,Candelas Expósito Montesinos,CE,13406579,RETAIL,1994-12-22,ACTIVE
CUS000048,Imelda Barreda,RUC,96621420,SME,1988-12-26,BLOCKED
CUS000049,Gabriela Mascaró Garmendia,PASSPORT,78043737,RETAIL,1993-11-05,BLOCKED
CUS000050,Filomena Rocha Barroso,DNI,39546935,CORPORATE,1968-12-20,ACTIVE
CUS000051,Pilar Iriarte Borja,DNI,14972869,PRIVATE_BANKING,1950-11-07,ACTIVE
CUS000052,Baldomero Milla-Lopez,DNI,49130960,SME,2004-12-17,ACTIVE
CUS000053,Adelia Reyes-Cerezo,CE,94241713,SME,2005-05-01,ACTIVE
CUS000054,Ale Noguera Mena,PASSPORT,15937387,PRIVATE_BANKING,1973-11-21,ACTIVE
CUS000055,Leonardo Millán Pozo,RUC,79330811,RETAIL,1993-04-02,ACTIVE
CUS000056,Raquel Delfina Salas Vega,RUC,14796445,RETAIL,1972-10-14,ACTIVE
CUS000057,Rufino Nuñez Ferrando,RUC,14756229,SME,1978-03-21,ACTIVE
CUS000058,Osvaldo de Camacho,CE,10115475,PRIVATE_BANKING,1948-07-29,ACTIVE
CUS000059,Natalia Pombo Nieto,DNI,32023621,RETAIL,1947-05-23,ACTIVE
CUS000060,Graciela Alcázar Vicente,PASSPORT,32138202,SME,2004-01-06,ACTIVE
CUS000061,Remedios Vallejo Jover,PASSPORT,64049974,PRIVATE_BANKING,1950-03-09,ACTIVE
CUS000062,Aarón Sergio Belda Plana,RUC,29430773,CORPORATE,2004-10-10,ACTIVE
